Old_CD,New_SD,Old_CD_Republican,Old_CD_Democrat,Old_CD_Other,Old_CD_Total,Voters_To_New_SD,New_SD_Republican,New_SD_Democrat,New_SD_Other,Expected_Republican,Expected_Democrat,Net_Republican_Change,Net_Democrat_Change,Pct_Republican_Change,Pct_Democrat_Change
15,29,26079,35935,23112,432672,54027,3187,4679,46161,3256.4393651542046,4487.140940481473,-69.43936515420455,191.85905951852692,-2.1323708924921543,4.275752914013445
15,36,26079,35935,23112,432672,45649,3393,4740,37516,2751.4613171178166,3791.3172449338067,641.5386828821834,948.6827550661933,23.316289380153872,25.02251048323329
15,37,26079,35935,23112,432672,39182,5171,797,33214,2361.667447858886,3254.209123770431,2809.332552141114,-2457.209123770431,118.95546744687047,-75.50864220193169
15,38,26079,35935,23112,432672,29026,1628,1871,25527,1749.5217023518971,2410.715992715036,-121.52170235189715,-539.715992715036,-6.9459957077717,-22.38820310422333
16,2,12092,24569,23752,471994,17177,648,1153,15376,440.0570430980055,894.1251647266704,207.94295690199448,258.8748352733296,47.25363680991769,28.952863143323604
16,7,12092,24569,23752,471994,95425,2538,4751,88136,2444.6901867396623,4967.217432848723,93.3098132603377,-216.21743284872264,3.816835923278256,-4.352888428415764
16,8,12092,24569,23752,471994,10208,272,751,9185,261.5184430310555,531.3634325860074,10.481556968944517,219.63656741399257,4.007960909930864,41.33452811102913
16,9,12092,24569,23752,471994,91834,2115,4519,85200,2352.692466429658,4780.292855417653,-237.692466429658,-261.2928554176533,-10.102997727976302,-5.466042841319273
16,18,12092,24569,23752,471994,126293,3501,6464,116328,3235.4965444475993,6574.008815790032,265.50345555240074,-110.0088157900318,8.205957011699745,-1.6733901470561308
16,29,12092,24569,23752,471994,46160,1194,2680,42286,1182.5716428598669,2402.7954592643127,11.42835714013313,277.20454073568726,0.9663987132733383,11.53675148115028
16,36,12092,24569,23752,471994,20092,502,1209,18381,514.7363398687271,1045.8614897647003,-12.7363398687271,163.1385102352997,-2.4743424705501154,15.59848142721106
16,38,12092,24569,23752,471994,64805,1322,3042,60441,1660.237333525426,3373.3353496019013,-338.23733352542604,-331.33534960190127,-20.372830239107863,-9.82218828735789
17,2,55661,12212,40664,484446,4090,221,122,3747,469.9254199642478,103.10143958253344,-248.9254199642478,18.898560417466555,-52.971260840323595,18.330064540309472
